"Id","R","Nome","Squadra","Pg","Mv","Mf","WeightedPerf"
661,"C","INIGUEZ","Udinese",0,0,0,0
662,"D","ALEX SANDRO","Juventus",29,6.05,6.14,4.68578947368421
663,"D","KRAFTH","Bologna",0,0,0,0
666,"C","MACHIN","Parma",2,5.75,6.25,0.328947368421053
669,"C","DONSAH","Bologna",4,5.75,5.75,0.605263157894737
673,"P","PERISAN","Udinese",0,0,0,0
695,"D","TOLOI","Atalanta",21,6.07,6.19,3.42078947368421
697,"C","CUADRADO","Juventus",16,5.78,5.97,2.51368421052632
702,"C","GIACCHERINI","Chievo",26,5.83,5.87,4.01631578947368
704,"C","PERISIC","Inter",34,6.03,6.72,6.01263157894737
706,"D","ANSALDI","Torino",24,6.38,6.77,4.27578947368421
708,"D","FELIPE","SPAL",28,5.84,5.96,4.39157894736842
713,"C","DZEMAILI","Bologna",27,5.8,5.87,4.17078947368421
718,"A","RODRIGUEZ A","Empoli",1,6,6,0.157894736842105
720,"P","BELEC","Sampdoria",0,0,0,0
726,"C","VITALE","SPAL",0,0,0,0
729,"D","PEREIRA P","Genoa",20,5.52,5.5,2.89473684210526
761,"P","AUDERO","Sampdoria",36,6.04,4.65,4.40526315789474
768,"C","RANIERI","Atalanta",0,0,0,0
770,"D","PEZZELLA GIU","Genoa",5,5.2,4.9,0.644736842105263
771,"C","BOATENG","Sassuolo",13,6.35,7.31,2.50078947368421
778,"A","TUMMINELLO","Atalanta",0,0,0,0
779,"C","CRISTANTE","Roma",35,5.87,6.13,5.64605263157895
780,"D","CIONEK","SPAL",30,5.77,5.58,4.40526315789474
785,"A","IMMOBILE","Lazio",35,6.04,7.41,6.825
787,"D","DJIMSITI","Atalanta",22,5.84,5.86,3.39263157894737
788,"C","FREULER","Atalanta",35,6.16,6.33,5.83026315789474
789,"A","TROTTA","Frosinone",8,5.44,5.44,1.14526315789474
790,"D","SAMIR","Udinese",21,5.88,6.05,3.34342105263158
795,"A","EL SHAARAWY","Roma",28,6.18,7.43,5.47473684210526
798,"D","SKRINIAR","Inter",35,6.1,5.99,5.51710526315789
799,"P","BARDI","Frosinone",3,6,4.33,0.341842105263158
801,"C","GAGLIARDINI","Inter",15,6.1,6.97,2.75131578947368
813,"C","BALIC","Udinese",0,0,0,0
817,"D","COSTA F","SPAL",8,5.88,5.88,1.23789473684211
819,"A","FAVILLI","Genoa",5,5.7,5.9,0.776315789473684
824,"D","ADJAPONG","Sassuolo",4,6,6.62,0.696842105263158
827,"C","LOCATELLI M","Sassuolo",26,5.94,6.21,4.24894736842105
1839,"A","EDERA","Bologna",5,5.5,5.4,0.710526315789474
1843,"P","RADU I","Genoa",33,6.3,5,4.3421052631579
1847,"D","CALDARA","Milan",0,0,0,0
1850,"C","KESSIE'","Milan",34,6.06,6.62,5.92315789473684
1852,"D","SPINAZZOLA","Juventus",9,6,6.11,1.44710526315789
1857,"A","DI FRANCESCO F","Sassuolo",16,5.84,6.28,2.64421052631579
1858,"C","KREJCI","Bologna",16,5.59,5.72,2.40842105263158
1859,"C","NAGY","Bologna",13,5.62,5.46,1.86789473684211
1864,"D","BRUNO ALVES","Parma",33,6.03,6.21,5.39289473684211
1865,"D","CAPUANO","Frosinone",27,5.67,5.54,3.93631578947368
1866,"D","CEPPITELLI","Cagliari",24,5.92,5.81,3.66947368421053
1867,"D","KRAJNC","Frosinone",9,5.44,5.28,1.25052631578947
1868,"D","MURRU","Sampdoria",34,5.82,5.84,5.22526315789474
1869,"D","PISACANE","Cagliari",26,5.83,5.87,4.01631578947368
1870,"C","BARELLA","Cagliari",35,6.13,6.07,5.59078947368421
1871,"C","DEIOLA","Cagliari",17,5.74,5.65,2.52763157894737
1872,"C","DESSENA","Cagliari",6,5.67,5.42,0.85578947368421
1873,"C","DI GENNARO D","Lazio",0,0,0,0
1874,"C","JOAO PEDRO","Cagliari",34,5.85,6.47,5.78894736842105
1875,"C","MUNARI","Parma",0,0,0,0
1876,"D","PAJAC","Empoli",13,6,6.35,2.17236842105263
1879,"A","FARIAS","Empoli",31,6.02,6.76,5.51473684210526
1882,"A","SAU","Sampdoria",14,5.68,5.75,2.11842105263158
1891,"D","CECCHERINI","Fiorentina",13,5.77,5.65,1.93289473684211
1895,"D","FERRARI G","Sassuolo",31,5.97,6.21,5.06605263157895
1913,"C","MATHEUS PEREIRA","Juventus",2,6,6,0.31578947368421
1917,"P","DRAGOWSKI","Empoli",17,6.44,5.03,2.25026315789474
1918,"D","DIKS","Empoli",0,0,0,0
1930,"P","PINSOGLIO","Juventus",1,5.5,3.5,0.092105263157895
1931,"D","BENATIA","Juventus",5,6.3,6.1,0.802631578947368
1933,"C","MANDRAGORA","Udinese",34,5.75,5.9,5.27894736842105
1934,"P","STRAKOSHA","Lazio",35,6.17,5.09,4.68815789473684
1936,"C","MINALA","Lazio",0,0,0,0
1939,"A","LAPADULA","Genoa",6,5.67,6.08,0.96
1941,"P","FULIGNATI","SPAL",0,0,0,0
1946,"P","ARESTI","Cagliari",0,0,0,0
1952,"D","ZAMPANO","Frosinone",26,5.71,5.73,3.92052631578947
1958,"A","CAPRARI","Sampdoria",21,6,6.93,3.82973684210526
1967,"C","GERSON","Fiorentina",35,5.9,6.07,5.59078947368421
1970,"P","TOZZO","Sampdoria",0,0,0,0
1974,"A","SCHICK","Roma",21,5.81,6.17,3.40973684210526
1976,"C","MAZZITELLI","Genoa",9,5.72,5.56,1.31684210526316
1978,"C","SENSI","Sassuolo",28,6.05,6.27,4.62
1982,"A","PARIGINI","Torino",12,5.75,5.67,1.79052631578947
1984,"D","ANGELLA","Udinese",0,0,0,0
1986,"C","FOFANA","Udinese",31,5.94,6.15,5.01710526315789
1987,"C","JANKTO","Sampdoria",17,5.59,5.53,2.47394736842105
1988,"A","EWANDRO","Udinese",0,0,0,0
1995,"C","DJURICIC","Sassuolo",22,5.82,6.07,3.51421052631579
1996,"C","DE PAUL","Udinese",36,6.17,6.76,6.40421052631579
1998,"A","PJACA","Fiorentina",15,5.7,5.93,2.34078947368421
1999,"D","LUKAKU J","Lazio",7,5.79,5.71,1.05184210526316
2002,"C","CHIESA","Fiorentina",37,6.24,6.73,6.55289473684211
2003,"C","MURGIA","SPAL",14,5.93,6.11,2.25105263157895
2006,"D","LIROLA","Sassuolo",35,5.99,6.21,5.71973684210526
2007,"D","WALLACE","Lazio",15,5.57,5.2,2.05263157894737
2008,"C","LINETTY","Sampdoria",32,5.97,6.17,5.19578947368421
2009,"C","LUKIC","Torino",18,6.08,6.28,2.97473684210526
2011,"C","MIGUEL VELOSO","Genoa",21,5.81,5.69,3.14447368421053
2012,"A","MILIK","Napoli",35,6.07,7.53,6.93552631578947
2013,"A","RICCI","Sassuolo",0,0,0,0
2015,"D","LETSCHERT","Sassuolo",0,0,0,0
2016,"D","FAZIO","Roma",34,5.85,6.21,5.55631578947368
2038,"A","PINAMONTI","Frosinone",25,5.8,6.48,4.26315789473684
2040,"A","LOMBARDI","Lazio",0,0,0,0
2052,"D","GOMEZ G","Milan",0,0,0,0
2058,"C","SANCHEZ C","Fiorentina",0,0,0,0
2061,"A","SIMEONE","Fiorentina",35,5.66,6.23,5.73815789473684
2062,"D","BASTOS","Lazio",17,5.82,5.91,2.64394736842105
2064,"D","VESELI","Empoli",29,5.59,5.52,4.21263157894737
2065,"C","PRAET","Sampdoria",34,6.07,6.25,5.5921052631579
2073,"A","RAGUSA","Sassuolo",0,0,0,0
2075,"C","CRISTOFORO","Fiorentina",0,0,0,0
2076,"C","ROG","Napoli",7,6.07,6.29,1.15868421052632
2077,"C","PASALIC","Atalanta",31,5.89,6.45,5.26184210526316
2078,"C","JOAO MARIO","Inter",16,6.06,6.25,2.63157894736842
2083,"D","BIRASCHI","Genoa",34,5.81,5.68,5.0821052631579
2085,"C","LUIS ALBERTO","Lazio",27,5.98,6.48,4.60421052631579
2087,"D","OLIVERA M","Fiorentina",0,0,0,0
2091,"P","PLIZZARI","Milan",0,0,0,0
2097,"A","KEAN","Juventus",10,6.35,8.05,2.11842105263158
2100,"A","OKWONKWO","Bologna",7,5.57,5.5,1.01315789473684
2104,"D","BERESZYNSKI","Sampdoria",25,5.66,5.6,3.68421052631579
2105,"C","BEGHETTO","Frosinone",26,5.9,5.96,4.07789473684211
2107,"C","KIYINE","Chievo",18,5.92,5.81,2.75210526315789
2108,"A","ROSSI A","Lazio",0,0,0,0
2114,"A","PETKOVIC","Bologna",0,0,0,0
2116,"D","FARAGO'","Cagliari",24,5.83,5.81,3.66947368421053
2117,"C","KASTANOS","Juventus",1,5.5,5.5,0.144736842105263
2120,"D","BASTONI","Parma",21,5.95,6.05,3.34342105263158
2124,"C","ZAJC","Empoli",20,5.98,6.45,3.39473684210526
2127,"P","SATALINO","Sassuolo",0,0,0,0
2129,"D","SIMIC L","SPAL",4,5.38,5.38,0.566315789473684
2130,"D","HATEBOER","Atalanta",34,6.06,6.57,5.87842105263158
2133,"C","VALENCIA JM","Bologna",1,6,5.5,0.144736842105263
2134,"P","FALCONE","Sampdoria",0,0,0,0
2137,"A","SCAMACCA","Sassuolo",0,0,0,0
2141,"C","DEPAOLI","Chievo",32,5.75,5.66,4.76631578947368
2144,"C","COULIBALY","Udinese",0,0,0,0
2146,"A","HAN","Cagliari",0,0,0,0
2152,"A","JAKUPOVIC","Empoli",0,0,0,0
2154,"C","VIGNATO","Chievo",10,6,6.4,1.68421052631579
2155,"A","CUTRONE","Milan",29,5.83,6.17,4.70868421052632
2160,"D","GOSENS","Atalanta",28,6.18,6.54,4.81894736842105
2163,"A","CORNELIUS","Atalanta",0,0,0,0
2164,"D","MILENKOVIC","Fiorentina",34,5.93,6.06,5.4221052631579
2165,"D","VITOR HUGO","Fiorentina",29,5.88,5.76,4.39578947368421
2166,"C","BENTANCUR","Juventus",29,5.91,6.03,4.60184210526316
2167,"A","ORSOLINI","Bologna",32,6.19,7.03,5.92
2168,"D","MUSACCHIO","Milan",29,6.02,6.09,4.64763157894737
2169,"D","RODRIGUEZ R","Milan",35,5.84,5.83,5.36973684210526
2170,"P","MILINKOVIC-SAVIC V","SPAL",2,5.75,3.25,0.171052631578947
2171,"D","LYANCO","Bologna",14,5.89,5.96,2.19578947368421
2172,"C","BARAK","Udinese",5,5.4,5.4,0.710526315789474
2174,"D","VENUTI","Fiorentina",0,0,0,0
2175,"A","ANDRE' SILVA","Milan",0,0,0,0
2178,"P","CRAGNO","Cagliari",38,6.45,5.17,5.17
2179,"P","SIRIGU","Torino",36,6.35,5.53,5.23894736842105
2180,"D","KARSDORP","Roma",9,5.78,5.72,1.35473684210526
2181,"D","PALOMINO","Atalanta",28,6.05,6.07,4.47263157894737
2182,"D","RIGIONE","Chievo",0,0,0,0
2183,"C","GARRITANO","Chievo",0,0,0,0
2185,"C","GAUDINO","Chievo",0,0,0,0
2187,"C","BORINI","Milan",19,5.92,6.21,3.105
2188,"C","MARUSIC","Lazio",25,5.8,5.88,3.86842105263158
2191,"C","INGELSSON","Udinese",3,5.17,5.17,0.408157894736842
2192,"D","BONIFAZI","SPAL",27,5.94,6.13,4.35552631578947
2193,"C","GONALONS","Roma",0,0,0,0
2194,"C","CALHANOGLU","Milan",35,5.91,6.27,5.775
2195,"A","OUNAS","Napoli",12,6,6.75,2.13157894736842
2196,"A","GALABINOV","Genoa",0,0,0,0
2197,"D","CASTAGNE","Atalanta",27,6.04,6.5,4.61842105263158
2198,"A","KOWNACKI","Sampdoria",6,5.75,5.92,0.934736842105263
2200,"C","DOUGLAS COSTA","Juventus",13,6.04,6.15,2.10394736842105
2201,"A","UNDER","Roma",23,5.96,6.59,3.98868421052632
2205,"C","BERENGUER","Torino",22,6.09,6.43,3.72263157894737
2207,"A","ZEKHNINI","Fiorentina",0,0,0,0
2208,"D","JAROSZYNSKI","Chievo",19,5.63,5.58,2.79
2209,"C","LUCAS LEIVA","Lazio",26,6,5.94,4.06421052631579
2210,"C","FALLETTI","Bologna",0,0,0,0
2212,"D","VAISANEN","SPAL",0,0,0,0
2213,"C","CASSATA","Frosinone",18,5.83,6,2.84210526315789
2214,"D","KOLAROV","Roma",33,6.06,6.7,5.81842105263158
2215,"C","VERETOUT","Fiorentina",33,6.06,6.27,5.445
2216,"D","KONATE","SPAL",0,0,0,0
2243,"C","CICIRETTI","Parma",5,5.6,5.6,0.736842105263158
2246,"A","CERAVOLO","Parma",22,5.45,5.57,3.22473684210526
2249,"P","SANTURRO","Bologna",0,0,0,0
2256,"P","POLUZZI","SPAL",0,0,0,0
2261,"D","VICARI","SPAL",28,5.95,6.09,4.48736842105263
2263,"C","LAZZARI M","SPAL",33,6.35,6.48,5.62736842105263
2265,"C","SCHIATTARELLA","SPAL",25,5.92,5.88,3.86842105263158
2267,"A","ANTENUCCI","SPAL",30,5.77,6.17,4.87105263157895
2271,"P","NICOLAS","Udinese",0,0,0,0
2274,"C","VALOTI","SPAL",21,5.86,6,3.31578947368421
2279,"D","ROMAGNA","Cagliari",18,6.06,6,2.84210526315789
2280,"D","NUYTINCK","Udinese",27,5.87,5.76,4.09263157894737
2284,"A","CAICEDO","Lazio",23,6.15,7.2,4.35789473684211
2285,"D","BANI","Chievo",30,5.65,5.43,4.28684210526316
2287,"C","RAMIREZ","Sampdoria",26,5.92,6.38,4.36526315789474
2288,"D","N'KOULOU","Torino",36,6.25,6.31,5.97789473684211
2289,"D","DALBERT","Inter",11,5.73,5.73,1.65868421052632
2290,"C","EYSSERIC","Fiorentina",8,5.94,6,1.26315789473684
2293,"C","OMEONGA","Genoa",2,5.5,5.25,0.276315789473684
2296,"D","MANCINI G","Atalanta",29,6.22,6.69,5.10552631578947
2297,"P","ROSSI F","Atalanta",0,0,0,0
2300,"D","LEVERBE","Cagliari",0,0,0,0
2302,"C","BEHRAMI","Udinese",18,6.06,6.06,2.87052631578947
2304,"A","SALCEDO E","Inter",0,0,0,0
2306,"C","MATUIDI","Juventus",30,6.22,6.5,5.13157894736842
2309,"D","PEZZELLA GER","Fiorentina",32,6.03,6.09,5.12842105263158
2310,"D","CANCELO","Juventus",24,6.1,6.19,3.90947368421053
2312,"D","HRISTOV","Fiorentina",0,0,0,0
2315,"D","STRYGER LARSEN","Udinese",36,5.86,5.97,5.65578947368421
2317,"A","BRIGNOLA","Sassuolo",5,5.8,6.2,0.81578947368421
2318,"D","ROGERIO","Sassuolo",32,5.64,5.59,4.70736842105263
2320,"D","ANDERSEN","Sampdoria",32,6.02,5.91,4.97684210526316
2325,"A","KARAMOH","Inter",0,0,0,0
2327,"A","STEPINSKI","Chievo",35,5.63,6.1,5.61842105263158
2331,"P","BORSELLINI","Udinese",0,0,0,0
2332,"C","BRUNO JORDAO","Lazio",2,6,6,0.31578947368421
2333,"A","PEDRO NETO","Lazio",2,6,6,0.31578947368421
2334,"A","LERIS","Chievo",22,5.59,5.52,3.19578947368421
2335,"D","LUIZ FELIPE","Lazio",17,5.94,6.06,2.71105263157895
2355,"D","MARLON","Sassuolo",18,5.69,5.72,2.70947368421053
2378,"C","PASTORE","Roma",12,5.92,6.75,2.13157894736842
2387,"P","LAFONT","Fiorentina",34,6.01,4.84,4.33052631578947
2391,"C","EKDAL","Sampdoria",32,6.02,5.92,4.98526315789474
2468,"P","OSPINA","Napoli",17,6.06,4.88,2.18315789473684
2504,"C","CAN ","Juventus",26,6.02,6.33,4.33105263157895
2535,"D","CEDRIC SOARES","Inter",3,6.17,6.17,0.487105263157895
2594,"D","LEMOS","Sassuolo",3,5.5,5.5,0.434210526315789
2610,"A","CRISTIANO RONALDO","Juventus",31,6.48,8.6,7.01578947368421
2617,"C","NZONZI","Roma",30,5.98,6.03,4.76052631578947
2625,"C","SORIANO","Bologna",24,5.9,6.1,3.85263157894737
2639,"C","BAKAYOKO","Milan",29,6.02,6.05,4.6171052631579
2646,"C","SANDRO","Udinese",21,5.64,5.43,3.00078947368421
2650,"A","AVENATTI","Bologna",0,0,0,0
2651,"D","LISANDRO LOPEZ","Genoa",0,0,0,0
2652,"C","EVERTON LUIZ","SPAL",9,5.61,5.39,1.27657894736842
2653,"D","LYKOGIANNIS","Cagliari",10,5.5,5.55,1.46052631578947
2658,"A","MEDEIROS","Genoa",2,5.25,5.25,0.276315789473684
2659,"C","DABO","Fiorentina",17,5.79,5.91,2.64394736842105
2663,"D","TANASIJEVIC","Chievo",1,5,4,0.105263157894737
2664,"D","EL YAMIQ","Genoa",0,0,0,0
2692,"A","CASTILLEJO","Milan",22,5.95,6.55,3.79210526315789
2719,"A","BARROW","Atalanta",17,5.82,6,2.68421052631579
2725,"C","CALIGARA","Cagliari",0,0,0,0
2728,"D","PELLEGRINI LU","Cagliari",16,5.91,5.84,2.45894736842105
2732,"C","STIJEPOVIC","Sampdoria",0,0,0,0
2737,"D","BETTELLA","Atalanta",0,0,0,0
2739,"D","RECA","Atalanta",1,6.5,6.5,0.171052631578947
2740,"D","VARNIER","Atalanta",0,0,0,0
2741,"C","PESSINA","Atalanta",5,6.1,6.3,0.828947368421053
2742,"C","VALZANIA","Frosinone",15,6.03,6.37,2.51447368421053
2743,"A","SANTANDER","Bologna",29,6.03,6.9,5.26578947368421
2744,"C","SVANBERG","Bologna",21,5.67,5.71,3.15552631578947
2745,"D","CALABRESI","Bologna",17,5.79,5.74,2.56789473684211
2746,"D","DIJKS","Bologna",24,6,5.98,3.77684210526316
2747,"D","PAZ","Bologna",2,5.5,5.25,0.276315789473684
2749,"D","SRNA","Cagliari",26,5.94,5.96,4.07789473684211
2750,"A","MRAZ","Empoli",5,5.6,6.2,0.81578947368421
2752,"D","RASMUSSEN","Empoli",13,5.31,5.27,1.80289473684211
2753,"D","MARCJANIK","Empoli",0,0,0,0
2754,"D","HANCKO","Fiorentina",4,5.88,6.12,0.644210526315789
2755,"D","VALIETTI","Genoa",0,0,0,0
2756,"A","PIATEK","Milan",37,6.35,8.07,7.85763157894737
2757,"D","LAKICEVIC","Genoa",0,0,0,0
2758,"D","GUNTER","Genoa",12,5.67,5.62,1.77473684210526
2759,"D","CRISCITO","Genoa",35,6.01,6.1,5.61842105263158
2760,"C","CALLEGARI","Genoa",0,0,0,0
2761,"P","VODISEK","Genoa",0,0,0,0
2762,"A","KOUAME'","Genoa",38,6.07,6.46,6.46
2764,"A","MARTINEZ L","Inter",22,6.07,6.84,3.96
2765,"A","ODGAARD","Sassuolo",1,6,6,0.157894736842105
2766,"C","ZANIOLO","Roma",27,6.13,6.5,4.61842105263158
2769,"D","MAGNANI","Sassuolo",18,6.11,6.11,2.89421052631579
2770,"P","PROTO","Lazio",2,6,3.75,0.197368421052632
2771,"C","BERISHA V","Lazio",5,6,6,0.789473684210526
2772,"D","DURMISI","Lazio",8,5.56,5.31,1.11789473684211
2773,"A","SPROCATI","Parma",12,5.67,5.92,1.86947368421053
2774,"C","HALILOVIC","Milan",0,0,0,0
2775,"C","RUIZ","Napoli",27,6.3,6.89,4.89552631578947
2776,"A","YOUNES","Napoli",11,6.27,7.23,2.09289473684211
2778,"C","STULAC","Parma",21,5.86,5.79,3.19973684210526
2779,"A","KLUIVERT","Roma",24,5.88,6.21,3.92210526315789
2780,"C","CORIC","Roma",1,5.5,5.5,0.144736842105263
2781,"P","FUZATO","Roma",0,0,0,0
2782,"D","MARCANO","Roma",10,5.55,5.55,1.46052631578947
2783,"D","BIANDA","Roma",0,0,0,0
2784,"D","COLLEY","Sampdoria",21,5.93,5.88,3.24947368421053
2785,"C","PEETERS","Sampdoria",0,0,0,0
2787,"D","DICKMANN","SPAL",4,5.5,5.38,0.566315789473684
2788,"D","BREMER","Torino",2,5.75,5.5,0.289473684210526
2789,"C","MEITE'","Torino",34,6.06,6.19,5.53842105263158
2790,"P","ROSATI","Torino",0,0,0,0
2791,"A","VIZEU","Udinese",1,5,5,0.131578947368421
2792,"P","MUSSO","Udinese",29,6.26,4.81,3.67078947368421
2793,"D","OPOKU","Udinese",11,5.45,5.23,1.51394736842105
